# Per-frame agreement breakdown for reel_c1: mouth optical motion choice vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	mouth_label	diar_label	agree
 589	True 	spk_a  	spk_a  	True 
 590	True 	spk_a  	spk_a  	True 
 591	True 	spk_a  	spk_a  	True 
 592	True 	spk_a  	spk_a  	True 
 593	True 	spk_a  	spk_a  	True 
 594	True 	spk_a  	spk_a  	True 
 595	True 	spk_a  	spk_a  	True 
 596	True 	spk_b  	spk_a  	False
 597	True 	spk_b  	spk_a  	False
 598	True 	spk_b  	spk_a  	False
 599	True 	spk_b  	spk_a  	False
 600	True 	spk_b  	spk_a  	False
 601	True 	spk_b  	spk_a  	False
 602	True 	spk_a  	spk_a  	True 
 603	True 	spk_a  	spk_a  	True 
 604	True 	spk_a  	spk_a  	True 
 605	True 	spk_a  	spk_a  	True 
 606	True 	spk_a  	spk_a  	True 
 607	True 	spk_b  	spk_a  	False
 608	True 	spk_b  	spk_a  	False
 609	True 	spk_b  	spk_a  	False
 610	True 	spk_b  	spk_a  	False
 611	True 	spk_b  	spk_a  	False
 612	True 	spk_a  	spk_a  	True 
 613	True 	spk_a  	spk_a  	True 
 614	True 	spk_a  	spk_a  	True 
 615	True 	spk_a  	spk_a  	True 
 616	True 	spk_a  	spk_a  	True 
 617	True 	spk_b  	spk_a  	False
 618	True 	spk_b  	spk_a  	False
 619	True 	spk_b  	spk_a  	False
 620	True 	spk_b  	spk_a  	False
 621	True 	spk_b  	spk_a  	False
 622	True 	spk_b  	spk_a  	False
 623	True 	spk_a  	spk_a  	True 
 624	True 	spk_a  	spk_a  	True 
 625	True 	spk_a  	spk_a  	True 
 626	True 	spk_a  	spk_a  	True 
 627	True 	spk_a  	spk_a  	True 
 628	True 	spk_b  	spk_a  	False
 629	True 	spk_a  	spk_a  	True 
 630	True 	spk_a  	spk_a  	True 
 631	True 	spk_a  	spk_a  	True 
 632	True 	spk_a  	spk_a  	True 
 633	False	spk_a  	spk_a  	False
 634	False	spk_a  	spk_a  	False
 635	False	spk_a  	spk_a  	False
 636	False	spk_a  	spk_a  	False
 637	False	spk_a  	spk_a  	False
 638	False	spk_a  	spk_a  	False
 639	False	spk_a  	spk_a  	False
 640	False	spk_a  	spk_a  	False
 641	False	spk_a  	spk_a  	False
 642	False	spk_a  	spk_a  	False
 643	False	spk_b  	spk_a  	False
 644	False	spk_b  	spk_a  	False
 645	False	spk_b  	spk_a  	False
 646	False	spk_b  	spk_a  	False
 647	False	spk_b  	spk_a  	False
 648	False	spk_b  	spk_a  	False
 649	False	spk_b  	spk_a  	False
 650	False	spk_b  	spk_a  	False
 651	True 	spk_b  	spk_a  	False
 652	True 	spk_b  	spk_a  	False
 653	True 	spk_a  	spk_a  	True 
 654	True 	spk_a  	spk_a  	True 
 655	True 	spk_a  	none   	False
 656	True 	spk_a  	none   	False
 657	True 	spk_a  	none   	False
 658	True 	spk_a  	none   	False
 659	True 	spk_a  	none   	False
 660	True 	spk_a  	none   	False
 661	True 	spk_a  	none   	False
 662	True 	spk_a  	spk_b  	False
 663	True 	spk_a  	spk_b  	False
 664	True 	spk_a  	spk_b  	False
 665	True 	spk_b  	spk_b  	True 
 666	True 	spk_a  	spk_b  	False
 667	True 	spk_a  	spk_b  	False
 668	True 	spk_a  	spk_b  	False
 669	True 	spk_a  	spk_b  	False
