# Per-frame agreement breakdown for reel_c1: fused active speaker timeline vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	fused_label	diar_label	mouth_raw	agree
 389	True 	spk_a      	spk_a  	spk_b  	True 
 390	True 	spk_a      	spk_a  	spk_b  	True 
 391	True 	spk_a      	spk_a  	spk_b  	True 
 392	True 	spk_a      	spk_a  	spk_b  	True 
 393	True 	spk_a      	spk_a  	spk_b  	True 
 394	True 	spk_a      	spk_a  	spk_b  	True 
 395	True 	spk_a      	spk_a  	spk_b  	True 
 396	True 	spk_a      	spk_a  	spk_b  	True 
 397	True 	spk_a      	spk_a  	spk_b  	True 
 398	True 	spk_a      	spk_a  	spk_b  	True 
 399	True 	spk_a      	spk_a  	spk_b  	True 
 400	True 	spk_a      	spk_a  	spk_b  	True 
 401	True 	spk_a      	spk_a  	spk_b  	True 
 402	True 	spk_a      	spk_a  	spk_b  	True 
 403	True 	spk_a      	spk_a  	spk_b  	True 
 404	True 	spk_a      	spk_a  	spk_b  	True 
 405	True 	spk_a      	spk_a  	spk_b  	True 
 406	True 	spk_a      	spk_a  	spk_b  	True 
 407	True 	spk_a      	spk_a  	spk_b  	True 
 408	True 	spk_a      	spk_a  	spk_b  	True 
 409	True 	spk_a      	spk_a  	spk_b  	True 
 410	True 	spk_a      	spk_a  	spk_b  	True 
 411	True 	spk_a      	spk_a  	spk_b  	True 
 412	True 	spk_a      	spk_a  	spk_b  	True 
 413	True 	spk_a      	spk_a  	spk_b  	True 
 414	True 	spk_a      	spk_a  	spk_b  	True 
 415	True 	spk_a      	spk_a  	spk_b  	True 
 416	True 	spk_a      	spk_a  	spk_b  	True 
 417	True 	spk_a      	spk_a  	spk_b  	True 
 418	True 	spk_a      	spk_a  	spk_b  	True 
 419	True 	spk_a      	spk_a  	spk_b  	True 
 420	False	spk_a      	spk_a  	spk_b  	False
 421	False	spk_a      	spk_a  	spk_b  	False
 422	False	spk_a      	spk_a  	spk_b  	False
 423	True 	spk_a      	spk_a  	spk_b  	True 
 424	True 	spk_a      	spk_a  	spk_b  	True 
 425	True 	spk_a      	spk_a  	spk_b  	True 
 426	True 	spk_a      	spk_a  	spk_b  	True 
 427	True 	spk_a      	spk_a  	spk_b  	True 
 428	True 	spk_a      	spk_a  	spk_b  	True 
 429	True 	spk_a      	spk_a  	spk_b  	True 
 430	True 	spk_a      	spk_a  	spk_b  	True 
 431	True 	spk_a      	spk_a  	spk_b  	True 
 432	True 	spk_a      	spk_a  	spk_b  	True 
 433	True 	spk_a      	spk_a  	spk_b  	True 
 434	True 	spk_a      	spk_a  	spk_b  	True 
 435	True 	spk_a      	spk_a  	spk_b  	True 
 436	True 	spk_a      	spk_a  	spk_b  	True 
 437	True 	spk_a      	spk_a  	spk_b  	True 
 438	True 	spk_a      	spk_a  	spk_b  	True 
 439	True 	spk_a      	spk_a  	spk_b  	True 
 440	True 	spk_a      	spk_a  	spk_a  	True 
 441	True 	spk_a      	spk_a  	spk_a  	True 
 442	True 	spk_a      	spk_a  	spk_a  	True 
 443	True 	spk_a      	spk_a  	spk_a  	True 
 444	True 	spk_a      	spk_a  	spk_a  	True 
 445	True 	spk_a      	spk_a  	spk_a  	True 
 446	True 	spk_a      	spk_a  	spk_a  	True 
 447	True 	spk_a      	spk_a  	spk_a  	True 
 448	True 	spk_a      	spk_a  	spk_a  	True 
 449	True 	spk_a      	spk_a  	spk_a  	True 
 450	True 	spk_a      	spk_a  	spk_a  	True 
 451	True 	spk_a      	spk_a  	spk_a  	True 
 452	True 	spk_a      	spk_a  	spk_b  	True 
 453	True 	spk_a      	spk_a  	spk_b  	True 
 454	True 	spk_a      	spk_a  	spk_b  	True 
 455	True 	spk_a      	spk_a  	spk_a  	True 
 456	True 	spk_a      	spk_a  	spk_a  	True 
 457	True 	spk_a      	spk_a  	spk_a  	True 
 458	True 	spk_a      	spk_a  	spk_a  	True 
 459	True 	spk_a      	spk_a  	spk_a  	True 
 460	True 	spk_a      	spk_a  	spk_a  	True 
 461	True 	spk_a      	spk_a  	spk_a  	True 
 462	True 	spk_a      	spk_a  	spk_a  	True 
 463	True 	spk_a      	spk_a  	spk_a  	True 
 464	True 	spk_a      	spk_a  	spk_a  	True 
 465	True 	spk_a      	spk_a  	spk_a  	True 
 466	True 	spk_a      	spk_a  	spk_a  	True 
 467	True 	spk_a      	spk_a  	spk_a  	True 
 468	True 	spk_a      	spk_a  	spk_a  	True 
 469	True 	spk_a      	spk_a  	spk_a  	True 
 470	True 	spk_a      	spk_a  	spk_a  	True 
 471	True 	spk_a      	spk_a  	spk_a  	True 
 472	True 	spk_a      	spk_a  	spk_a  	True 
 473	True 	spk_a      	spk_a  	spk_a  	True 
 474	True 	spk_a      	spk_a  	spk_a  	True 
 475	True 	spk_a      	spk_a  	spk_a  	True 
 476	True 	spk_a      	spk_a  	spk_a  	True 
 477	True 	spk_a      	spk_a  	spk_a  	True 
 478	True 	spk_a      	spk_a  	spk_a  	True 
 479	True 	spk_a      	spk_a  	spk_a  	True 
 480	True 	spk_a      	spk_a  	spk_b  	True 
 481	True 	spk_a      	spk_a  	spk_b  	True 
 482	True 	spk_a      	spk_a  	spk_b  	True 
 483	True 	spk_a      	spk_a  	spk_b  	True 
 484	True 	spk_a      	spk_a  	spk_b  	True 
 485	True 	spk_a      	spk_a  	spk_a  	True 
 486	True 	spk_a      	spk_a  	spk_a  	True 
 487	True 	spk_a      	spk_a  	spk_a  	True 
 488	True 	spk_a      	spk_a  	spk_b  	True 
 489	True 	spk_a      	spk_a  	spk_a  	True 
 490	True 	spk_a      	spk_a  	spk_a  	True 
 491	True 	spk_a      	spk_a  	spk_b  	True 
 492	True 	spk_a      	spk_a  	spk_b  	True 
 493	True 	spk_a      	spk_a  	spk_b  	True 
